LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
Si Creva Capital Services Private Limited,1,Portfolio 1,154.63,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,52.43,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,2,-,,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,3,-,,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,4,Portfolio 1,1.3,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,2.99,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,,Portfolio 3,26.44,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,,Portfolio 4,21.43,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,,Portfolio 5,37.28,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,5,Portfolio 1,0.04,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,6,Portfolio 1,7.56,2025-12-31,2026-01-14 06:23:53,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,34.9,2025-12-31,2026-01-14 06:23:53,Partial
Smartcoin Financials Private Limited,,Portfolio 1,343.06,2025-12-31,2026-01-14 06:23:53,Completed
Smartcoin Financials Private Limited,,Portfolio 2,221.0,2025-12-31,2026-01-14 06:23:53,Completed
Smartcoin Financials Private Limited,,Portfolio 3,46.16,2025-12-31,2026-01-14 06:23:53,Completed
Smartcoin Financials Private Limited,,Portfolio 4,220.83,2025-12-31,2026-01-14 06:23:53,Completed
True Credits,,Portfolio - 1,1009.2,2025-12-31,2026-01-14 06:23:57,Completed
True Credits,,Portfolio - 2,555.8,2025-12-31,2026-01-14 06:23:57,Completed
True Credits,,Portfolio - 3,390.9,2025-12-31,2026-01-14 06:23:57,Completed
True Credits,,Portfolio - 4,474.8,2025-12-31,2026-01-14 06:23:57,Completed
True Credits,,Portfolio - 5,94.5,2025-12-31,2026-01-14 06:23:57,Completed
True Credits,,Portfolio - 6,36.2,2025-12-31,2026-01-14 06:23:57,Completed
True Credits,,Portfolio - 7,248.0,2025-12-31,2026-01-14 06:23:57,Completed
True Credits,,Portfolio - 8,244.1,2025-12-31,2026-01-14 06:23:57,Completed
