LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
Si Creva Capital Services Private Limited,2,-,,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,3,-,,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,4,Portfolio 1,1.3,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,2.99,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,,Portfolio 3,26.44,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,,Portfolio 4,21.43,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,,Portfolio 5,37.28,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,5,Portfolio 1,0.04,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,6,Portfolio 1,7.56,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,,Portfolio 2,34.9,,2026-01-12 04:19:02,Partial
Si Creva Capital Services Private Limited,,338.99,338.99,,2026-01-12 04:19:02,Partial
Shuhari Tech Ventures Private Limited,,,,,2026-01-12 04:19:03,Error
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,,,,2026-01-12 04:20:06,Error
Revfin Services Pvt. Ltd.,,,,,2026-01-12 04:20:09,Error
KrazyBee Services Limited,,,,,2026-01-12 04:20:12,Error
Uniorbit Technologies Private Limited,RE - 1,Portfolio - 1,35.85,,2026-01-12 04:23:59,Partial
Uniorbit Technologies Private Limited,1,1,35.85,,2026-01-12 04:23:59,Partial
Moneyview Limited,,Partner 1,286.18,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 2,354.29,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 3,1.0,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 4,823.86,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 5,3.0,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 6,0.05,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 7,1.0,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 8,416.92,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 9,323.75,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 10,158.52,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 11,4.45,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 12,948.44,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 13,472.65,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 14,423.03,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 15,26.42,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 16,34.85,,2026-01-12 04:24:08,Partial
Moneyview Limited,,Partner 17,2.61,,2026-01-12 04:24:08,Partial
SaveIN Fintech Pvt Ltd,,Cohort 1,,,2026-01-12 04:24:40,Partial
SaveIN Fintech Pvt Ltd,,Cohort 2,,,2026-01-12 04:24:40,Partial
SaveIN Fintech Pvt Ltd,,Cohort 3,,,2026-01-12 04:24:40,Partial
SaveIN Fintech Pvt Ltd,,Cohort 4,,,2026-01-12 04:24:40,Partial
SaveIN Fintech Pvt Ltd,,Cohort 5,,,2026-01-12 04:24:40,Partial
SaveIN Fintech Pvt Ltd,,Cohort 6,,,2026-01-12 04:24:40,Partial
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 1,11.92,2025-10-31,2026-01-12 04:24:47,Completed
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 2,3.75,2025-10-31,2026-01-12 04:24:47,Completed
Smartcoin Financials Private Limited,,Portfolio 1,343.06,,2026-01-12 04:24:59,Partial
Smartcoin Financials Private Limited,,Portfolio 2,221.0,,2026-01-12 04:24:59,Partial
Smartcoin Financials Private Limited,,Portfolio 3,46.16,,2026-01-12 04:24:59,Partial
Smartcoin Financials Private Limited,,Portfolio 4,220.83,,2026-01-12 04:24:59,Partial
Smartcoin Financials Private Limited,,Grand Total,831.04,,2026-01-12 04:24:59,Partial
PhonePe Lending Services Private Limited,S.No,S.No,,,2026-01-12 04:25:00,Partial
PhonePe Lending Services Private Limited,1,1,1.0,2026-01-01,2026-01-12 04:25:00,Partial
PhonePe Lending Services Private Limited,2,2,2.0,2026-01-02,2026-01-12 04:25:00,Partial
PhonePe Lending Services Private Limited,3,3,3.0,2026-01-03,2026-01-12 04:25:00,Partial
OnionLife Private Limited,,Portfolio 1,18.28,,2026-01-12 04:25:15,Partial
OnionLife Private Limited,,Portfolio 2,8.08,,2026-01-12 04:25:15,Partial
OnionLife Private Limited,,Portfolio 3,7.88,,2026-01-12 04:25:15,Partial
OnionLife Private Limited,,Portfolio 4,5.54,,2026-01-12 04:25:15,Partial
OnionLife Private Limited,,Portfolio 5,2.31,,2026-01-12 04:25:15,Partial
OnionLife Private Limited,,Portfolio 6,2.23,,2026-01-12 04:25:15,Partial
OnionLife Private Limited,,Portfolio 7,1.84,,2026-01-12 04:25:15,Partial
